,mean,std,min,1%,5%,50%,95%,99%,max
bonfi/gb1_p3_acc_cfa,3.5423202443398454,0.2874001632876584,2.6310513019561768,3.0008747100830084,3.129196119308472,3.512610673904419,4.057898998260498,4.342539997100827,21.160999298095703
bonfi/gb1_p3_acc_kurt,-0.17791010164439827,0.20240293149422411,-0.6239379048347473,-0.4394437825679779,-0.37621086835861206,-0.1760793477296829,0.015490715391933845,0.09744979053735724,97.0562744140625
bonfi/gb1_p3_acc_max,0.847965734783541,0.09566392758336438,0.0115626007318496,0.5082558560371399,0.713722288608551,0.848913311958313,0.9935616374015807,1.065020432472229,1.3786907196044922
bonfi/gb1_p3_acc_min,-0.8219771718697982,0.09332508163176809,-1.4056540727615356,-1.0530241966247558,-0.9723968505859375,-0.8185067772865295,-0.6984139323234558,-0.5103270506858827,-0.0108788665384054
bonfi/gb1_p3_acc_rms,0.2395471380888454,0.020457627953447514,0.0033965110778808,0.14165081024169918,0.2147401332855224,0.2422428131103515,0.2621297836303711,0.2707942390441894,0.3072328567504883
bonfi/gb1_p3_acc_skew,0.05416339984507704,0.06076198202492847,-0.4843461513519287,-0.08314743697643273,-0.04314925447106354,0.0530755147337913,0.15537528991699212,0.19808436632156362,2.737921714782715
bonfi/gb1_p3_acc_std,0.23894664412005465,0.020333693453431965,0.003387451171875,0.1416015625,0.2138671875,0.2421875,0.26171875,0.26953125,0.306640625
bonfi/gb1_p3_temp,48.69563380750996,2.099066156857948,12.875,38.75,46.75,49.0,50.25,50.75,51.75
bonfi/gb1_p4_acc_cfa,3.3475701824457182,0.2943446726835372,2.5058071613311768,2.7960706424713133,2.9175999641418455,3.3207576274871826,3.8719788074493406,4.152635250091552,15.761533737182615
bonfi/gb1_p4_acc_kurt,-0.005791604128987212,0.17435332759850228,-0.6240692734718323,-0.27827467679977413,-0.22728724181652066,-0.0023622133303433,0.22592943310737604,0.33913837194442675,67.98063659667969
bonfi/gb1_p4_acc_max,1.1010867769506432,0.12140682571904293,0.0120372790843248,0.7115472149848938,0.9168895244598388,1.1011725664138794,1.2917126178741454,1.388702602386474,1.8018420934677124
bonfi/gb1_p4_acc_min,-1.231908082643015,0.1422203767257565,-1.931368112564087,-1.542600908279419,-1.4430368661880493,-1.2374757528305054,-1.0152756690979006,-0.7321847534179691,-0.0119439950212836
bonfi/gb1_p4_acc_rms,0.3299910842097998,0.03369606535835907,0.0035855323076248,0.2042102813720703,0.2759958267211914,0.3337974548339844,0.3744535446166992,0.3894996643066406,0.4355440139770508
bonfi/gb1_p4_acc_skew,-0.16345858523861323,0.06418785200290064,-1.1985222101211548,-0.29844274163246154,-0.26111882925033564,-0.1664158552885055,-0.058472367376089095,0.026256674453616038,0.7935349941253662
bonfi/gb1_p4_acc_std,0.3290519844262378,0.033643925516376176,0.003570556640625,0.2041015625,0.275390625,0.33203125,0.373046875,0.388671875,0.43359375
bonfi/gb1_p4_temp,51.14997724548483,2.067095624264589,13.125,42.25,49.0,51.5,53.0,53.5,54.0
